event,event_time,symbol,kline_open_time,kline_close_time,symbol,interval,first_trade_id,last_trade_id,open_price,close_price,highest_price,lowest_price,base_asset_volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
kline,1685575152079,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341290,1869.58000000,1869.57000000,1869.58000000,1869.57000000,2.78900000,17,False,5214.23457100,0.38410000,718.10567800,0
kline,1685575154467,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341295,1869.58000000,1869.57000000,1869.58000000,1869.57000000,3.62990000,22,False,6786.35650000,0.43570000,814.57600600,0
kline,1685575157467,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341296,1869.58000000,1869.57000000,1869.58000000,1869.57000000,3.63800000,23,False,6801.50001700,0.43570000,814.57600600,0
kline,1685575159898,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341297,1869.58000000,1869.57000000,1869.58000000,1869.57000000,4.96060000,24,False,9274.19329900,0.43570000,814.57600600,0
kline,1685575161899,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341309,1869.58000000,1869.38000000,1869.58000000,1869.37000000,23.21500000,36,False,43400.40853600,0.44430000,830.65267400,0
kline,1685575164468,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341310,1869.58000000,1869.37000000,1869.58000000,1869.37000000,23.22170000,37,False,43412.93331500,0.44430000,830.65267400,0
kline,1685575167468,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341318,1869.58000000,1869.37000000,1869.58000000,1869.37000000,23.91700000,45,False,44712.71165800,0.98250000,1836.75299000,0
kline,1685575169555,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341326,1869.58000000,1869.37000000,1869.58000000,1869.37000000,32.80020000,53,False,61318.76145900,7.20420000,13467.47453600,0
kline,1685575172468,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341328,1869.58000000,1869.37000000,1869.58000000,1869.37000000,32.86150000,55,False,61433.35437500,7.25770000,13567.48636600,0
kline,1685575174553,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341331,1869.58000000,1869.38000000,1869.58000000,1869.37000000,35.47140000,58,False,66312.22397800,7.34170000,13724.51428600,0
kline,1685575176680,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341335,1869.58000000,1869.37000000,1869.58000000,1869.37000000,36.52540000,62,False,68282.53995800,7.34170000,13724.51428600,0
kline,1685575180469,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341339,1869.58000000,1869.37000000,1869.58000000,1869.37000000,37.13820000,66,False,69428.09045400,7.39770000,13829.19956600,0
kline,1685575182770,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341341,1869.58000000,1869.37000000,1869.58000000,1869.37000000,37.40930000,68,False,69934.87929400,7.66100000,14321.40732000,0
kline,1685575184990,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341342,1869.58000000,1869.37000000,1869.58000000,1869.37000000,37.41510000,69,False,69945.72164000,7.66100000,14321.40732000,0
kline,1685575187189,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341348,1869.58000000,1869.38000000,1869.58000000,1869.37000000,39.88700000,75,False,74566.64197900,10.12460000,18926.81188800,0
kline,1685575190470,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341352,1869.58000000,1869.37000000,1869.58000000,1869.37000000,39.92230000,79,False,74632.63094500,10.14510000,18965.13417800,0
kline,1685575193470,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341353,1869.58000000,1869.37000000,1869.58000000,1869.37000000,39.92760000,80,False,74642.53860600,10.14510000,18965.13417800,0
kline,1685575196196,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341354,1869.58000000,1869.38000000,1869.58000000,1869.37000000,40.03890000,81,False,74850.60060000,10.25640000,19173.19617200,0
kline,1685575198470,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341358,1869.58000000,1869.37000000,1869.58000000,1869.37000000,40.33750000,85,False,75408.79731400,10.53960000,19702.60458800,0
kline,1685575200003,ETHUSDT,1685575140000,1685575199999,ETHUSDT,1m,1158341274,1158341372,1869.58000000,1869.37000000,1869.58000000,1869.37000000,41.07970000,99,True,76796.24737300,10.90410000,20383.99359800,0
kline,1685575202036,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341395,1869.38000000,1869.44000000,1869.44000000,1869.37000000,3.49550000,23,False,6534.39015900,0.47810000,893.75312100,0
kline,1685575204471,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341399,1869.38000000,1869.55000000,1869.55000000,1869.37000000,3.90740000,27,False,7304.44862600,0.89000000,1663.81158800,0
kline,1685575206712,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341406,1869.38000000,1869.58000000,1869.58000000,1869.37000000,4.56150000,34,False,8527.33399400,1.48830000,2782.37550800,0
